sale_id;sale_date;product_id;customer_id;channel_id;quantity;unit_price_sale
1;2026-04;73;2;2;5;120.33
2;2026-02;8;20;2;5;166.49
3;2026-01;38;18;3;2;190.19
4;2026-01;72;19;1;2;80.82
5;2026-01;28;12;1;3;190.05
6;2026-02;28;12;1;1;124.93
7;2026-01;44;3;1;1;22.81
8;2026-03;99;12;2;4;97.54
9;2026-02;7;11;3;2;19.7
10;2026-02;34;8;3;3;118.25
11;2026-02;60;15;1;5;190.29
12;2026-01;29;10;1;5;191.29
13;2026-01;35;16;2;4;95.14
14;2026-01;63;5;3;1;109.18
15;2026-02;39;17;3;3;60.77
16;2026-01;19;20;2;2;128.51
17;2026-01;96;20;3;4;95.99
18;2026-01;41;18;2;2;108.29
19;2026-02;91;18;2;4;105.28
20;2026-03;66;11;1;2;93.68
21;2026-01;87;6;1;2;185.05
22;2026-04;48;14;3;4;13.16
23;2026-04;5;11;1;4;77.97
24;2026-01;79;3;3;4;53.14
25;2026-02;67;15;1;4;167.16
26;2026-04;40;4;2;3;146.14
27;2026-03;77;17;2;2;118.4
28;2026-02;19;19;2;5;86.4
29;2026-03;51;12;3;4;187.47
30;2026-01;88;10;1;3;78.37
31;2026-04;10;1;3;5;128.71
32;2026-04;83;18;1;1;88.88
33;2026-04;97;11;1;1;94.44
34;2026-02;7;5;1;5;34.24
35;2026-04;1;18;2;4;151.71
36;2026-04;16;11;1;3;48.54
37;2026-02;47;11;2;1;171.7
38;2026-03;7;17;1;5;97.38
39;2026-01;75;10;2;4;46.97
40;2026-03;44;10;1;5;49.48
41;2026-03;92;15;1;1;75.05
42;2026-01;20;6;2;3;108.14
43;2026-01;84;20;3;1;188.98
44;2026-04;53;18;2;1;68.53
45;2026-01;5;13;1;3;137.81
46;2026-02;97;1;2;5;22.88
47;2026-02;80;12;3;5;161.21
48;2026-03;23;8;1;3;59.29
49;2026-03;87;6;1;4;74.25
50;2026-03;7;5;3;2;115.28
51;2026-01;26;3;2;4;174.76
52;2026-04;14;13;3;5;91.72
53;2026-04;77;15;2;5;156.49
54;2026-01;34;13;2;1;40.65
55;2026-03;47;6;3;1;16.48
56;2026-01;17;18;1;3;61.89
57;2026-01;42;6;1;5;152.5
58;2026-04;26;16;2;1;180.05
59;2026-03;69;15;2;4;10.31
